cnt;nodes;density;CPU-min;CPU-avg;CPU-max;GPU-min;GPU-avg;GPU-max;GPU-Pinned-min;GPU-Pinned-avg;GPU-Pinned-max;GPU-Zero-Copy-min;GPU-Zero-Copy-avg;GPU-Zero-Copy-max;
1;10000;0.001000;1.186271;1.188483;1.190848;32.317831;32.472437;32.642868;32.320294;32.423662;32.628259;32.300365;32.435567;32.640439;
2;10000;0.002000;2.196185;2.204721;2.212845;35.771018;35.819032;35.867943;35.662701;35.671155;35.682290;35.627686;35.659201;35.681570;
3;10000;0.003000;3.213039;3.221902;3.238993;36.913336;36.943651;36.967937;36.788938;36.798300;36.825198;36.772983;36.798473;36.820665;
4;10000;0.004000;4.228521;4.236557;4.243358;37.496410;37.526512;37.561945;37.353157;37.380854;37.377979;37.362710;37.378048;37.400553;
5;10000;0.005000;5.236675;5.246759;5.253780;37.850963;37.872947;37.903863;37.750084;37.736012;37.747827;37.711899;37.730752;37.750528;
6;10000;0.006000;6.251508;6.261617;6.270039;38.094967;38.116908;38.139770;37.971589;37.974211;37.979799;37.969288;37.975780;37.984921;
7;10000;0.007000;7.271471;7.278125;7.297129;38.281195;38.298068;38.328571;38.156585;38.153744;38.146254;38.134620;38.149056;38.160514;
8;10000;0.008000;8.288816;8.299313;8.309358;38.402630;38.424663;38.446920;38.287549;38.285775;38.273670;38.281183;38.288058;38.294972;
9;10000;0.009000;9.289939;9.310696;9.324359;38.519486;38.529478;38.550590;38.382995;38.389332;38.393902;38.384128;38.391565;38.398882;
10;10000;0.010000;10.318169;10.333345;10.387531;38.592618;38.615232;38.636809;38.483496;38.476830;38.482735;38.455569;38.471266;38.479783;
11;10000;0.020000;20.468986;20.531649;20.608753;38.983538;39.004079;39.032280;38.860231;38.858535;38.859202;38.851205;38.859140;38.867489;
12;10000;0.030000;30.618183;30.630128;30.644639;39.117697;39.129578;39.147939;38.993885;38.991771;38.988678;38.980288;38.992441;39.007030;
13;10000;0.040000;40.756409;40.798730;40.872066;38.962184;39.052528;39.237546;39.062721;38.920629;38.841397;39.047278;39.064644;39.076557;
14;10000;0.050000;50.878513;50.951230;51.245988;39.034512;39.046787;39.074889;38.946659;38.911668;38.927676;38.995671;39.070364;39.126343;
15;10000;0.060000;61.058913;61.103734;61.164535;39.032763;39.083412;39.121216;38.942234;38.947506;38.966784;39.017854;39.072373;39.108801;
16;10000;0.070000;71.246805;71.320997;71.469968;39.062352;39.111665;39.138789;38.957277;38.959790;38.962569;39.046680;39.083398;39.121210;
17;10000;0.080000;81.376829;81.472045;81.694923;39.095570;39.134239;39.210234;39.021194;38.990539;39.014908;39.056352;39.097514;39.150525;
18;10000;0.090000;91.250956;91.710972;92.276737;39.108875;39.154853;39.182806;39.025330;39.041585;39.026359;39.166267;39.191174;39.202792;
19;10000;0.100000;101.726286;101.849951;102.351615;39.119632;39.165278;39.221990;39.022497;39.010331;39.002795;38.841444;39.060966;39.204598;
20;10000;0.200000;202.666008;203.581284;204.994507;39.173611;39.252938;39.296547;39.063552;39.064039;39.029037;39.052373;39.142726;39.189203;
21;10000;0.300000;303.278857;304.679865;305.636621;39.217527;39.262846;39.300707;38.955408;39.033071;39.122155;38.892819;39.089669;39.157013;
22;10000;0.400000;406.295629;406.820345;408.574231;39.177370;39.258727;39.309492;39.135325;38.997369;38.934734;38.902779;39.032840;39.149776;
23;10000;0.500000;507.992203;508.502875;509.596812;39.224908;39.288774;39.328797;38.975095;38.994533;38.941416;38.933957;38.998328;39.176872;
24;10000;0.600000;609.457735;610.605816;612.987468;39.252780;39.322812;39.370574;38.989015;38.965668;38.947833;38.932107;39.028136;39.133607;
25;10000;0.700000;711.172318;712.045242;716.498193;39.291606;39.335434;39.364462;38.970482;39.121931;39.193603;39.110499;39.162775;39.203480;
26;10000;0.800000;812.417313;812.754340;813.926807;39.209894;39.307853;39.367166;39.003339;39.114635;39.157657;39.078622;39.156700;39.216906;
27;10000;0.900000;913.872393;916.404473;923.263054;39.192849;39.324077;39.408828;39.219339;39.075137;39.008565;38.990238;39.092844;39.256412;
